Module	Section	Sample Name	Source
FastQC	all_sections	ERR4588265_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588265_1.trim_fastqc.zip
FastQC	all_sections	ERR4588265_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588265_2.trim_fastqc.zip
FastQC	all_sections	ERR4588266_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588266_1.trim_fastqc.zip
FastQC	all_sections	ERR4588266_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588266_2.trim_fastqc.zip
FastQC	all_sections	ERR4588267_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588267_1.trim_fastqc.zip
FastQC	all_sections	ERR4588267_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588267_2.trim_fastqc.zip
FastQC	all_sections	ERR4588268_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588268_1.trim_fastqc.zip
FastQC	all_sections	ERR4588268_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588268_2.trim_fastqc.zip
FastQC	all_sections	ERR4588269_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588269_1.trim_fastqc.zip
FastQC	all_sections	ERR4588269_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588269_2.trim_fastqc.zip
FastQC	all_sections	ERR4588270_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588270_1.trim_fastqc.zip
FastQC	all_sections	ERR4588270_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588270_2.trim_fastqc.zip
FastQC	all_sections	ERR4588271_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588271_1.trim_fastqc.zip
FastQC	all_sections	ERR4588271_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588271_2.trim_fastqc.zip
FastQC	all_sections	ERR4588272_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588272_1.trim_fastqc.zip
FastQC	all_sections	ERR4588272_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588272_2.trim_fastqc.zip
FastQC	all_sections	ERR4588273_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588273_1.trim_fastqc.zip
FastQC	all_sections	ERR4588273_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588273_2.trim_fastqc.zip
FastQC	all_sections	ERR4588274_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588274_1.trim_fastqc.zip
FastQC	all_sections	ERR4588274_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588274_2.trim_fastqc.zip
FastQC	all_sections	ERR4588275_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588275_1.trim_fastqc.zip
FastQC	all_sections	ERR4588275_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588275_2.trim_fastqc.zip
FastQC	all_sections	ERR4588276_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588276_1.trim_fastqc.zip
FastQC	all_sections	ERR4588276_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588276_2.trim_fastqc.zip
FastQC	all_sections	ERR4588277_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588277_1.trim_fastqc.zip
FastQC	all_sections	ERR4588277_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588277_2.trim_fastqc.zip
FastQC	all_sections	ERR4588278_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588278_1.trim_fastqc.zip
FastQC	all_sections	ERR4588278_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588278_2.trim_fastqc.zip
FastQC	all_sections	ERR4588279_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588279_1.trim_fastqc.zip
FastQC	all_sections	ERR4588279_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588279_2.trim_fastqc.zip
FastQC	all_sections	ERR4588280_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588280_1.trim_fastqc.zip
FastQC	all_sections	ERR4588280_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588280_2.trim_fastqc.zip
FastQC	all_sections	ERR4588281_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588281_1.trim_fastqc.zip
FastQC	all_sections	ERR4588281_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588281_2.trim_fastqc.zip
FastQC	all_sections	ERR4588282_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588282_1.trim_fastqc.zip
FastQC	all_sections	ERR4588282_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588282_2.trim_fastqc.zip
FastQC	all_sections	ERR4588283_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588283_1.trim_fastqc.zip
FastQC	all_sections	ERR4588283_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588283_2.trim_fastqc.zip
FastQC	all_sections	ERR4588284_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588284_1.trim_fastqc.zip
FastQC	all_sections	ERR4588284_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588284_2.trim_fastqc.zip
FastQC	all_sections	ERR4588285_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588285_1.trim_fastqc.zip
FastQC	all_sections	ERR4588285_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588285_2.trim_fastqc.zip
FastQC	all_sections	ERR4588286_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588286_1.trim_fastqc.zip
FastQC	all_sections	ERR4588286_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588286_2.trim_fastqc.zip
FastQC	all_sections	ERR4588287_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588287_1.trim_fastqc.zip
FastQC	all_sections	ERR4588287_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588287_2.trim_fastqc.zip
